Win,location,WinOverall,LossOverall,WinOverall_opponent,LossOverall_opponent,Date,Season,Team,Opponent,gameNum,opponentGameNum,conference,conference_opponent,interconference,GameType
1,A,8.0,14.0,10.0,12.0,2020-02-06,2020,Lipscomb,NorthAlabama,16.0,21.0,A-Sun,A-Sun,False,RegularSeason
0,H,7.0,13.0,9.0,11.0,2020-01-30,2020,NJIT,NorthAlabama,18.0,19.0,A-Sun,A-Sun,False,PostSeasonConferenceTournament
1,A,8.0,8.0,6.0,8.0,2020-01-04,2020,NorthFlorida,NorthAlabama,12.0,13.0,A-Sun,A-Sun,False,RegularSeason
1,H,17.0,10.0,10.0,15.0,2020-02-15,2020,NorthFlorida,NorthAlabama,21.0,24.0,A-Sun,A-Sun,False,PostSeasonConferenceTournament
1,A,7.0,11.0,7.0,10.0,2020-01-16,2020,Stetson,NorthAlabama,12.0,16.0,A-Sun,A-Sun,False,RegularSeason
1,H,13.0,12.0,10.0,14.0,2020-02-13,2020,Stetson,NorthAlabama,18.0,23.0,A-Sun,A-Sun,False,PostSeasonConferenceTournament
1,H,5.0,4.0,5.0,5.0,2019-12-17,2020,UAB,NorthAlabama,8.0,9.0,C-USA,A-Sun,True,RegularSeason
0,A,3.0,7.0,8.0,4.0,2019-12-29,2020,AlabamaAM,NotreDame,8.0,13.0,SWAC,ACC,True,RegularSeason
1,A,4.0,5.0,6.0,2.0,2019-12-07,2020,BostonCollege,NotreDame,8.0,9.0,ACC,ACC,False,RegularSeason
0,H,11.0,11.0,14.0,8.0,2020-02-09,2020,Clemson,NotreDame,21.0,23.0,ACC,ACC,False,PostSeasonConferenceTournament
0,A,1.0,7.0,6.0,3.0,2019-12-10,2020,DetroitMercy,NotreDame,8.0,10.0,Horizon,ACC,True,RegularSeason
1,H,21.0,3.0,15.0,9.0,2020-02-15,2020,Duke,NotreDame,20.0,25.0,ACC,ACC,False,RegularSeason
1,H,16.0,2.0,11.0,7.0,2020-01-25,2020,FloridaState,NotreDame,14.0,19.0,ACC,ACC,False,RegularSeason
0,H,8.0,8.0,10.0,6.0,2020-01-15,2020,GeorgiaTech,NotreDame,16.0,17.0,ACC,ACC,False,RegularSeason
0,A,10.0,11.0,12.0,8.0,2020-02-01,2020,GeorgiaTech,NotreDame,19.0,21.0,ACC,ACC,False,RegularSeason
1,N,10.0,1.0,8.0,3.0,2019-12-21,2020,Indiana,NotreDame,9.0,12.0,Big 10,ACC,True,RegularSeason
1,A,12.0,3.0,10.0,5.0,2020-01-11,2020,Louisville,NotreDame,10.0,16.0,ACC,ACC,False,RegularSeason
